2016-11-09_10:00;8;6;0.0;196.8;1000;7;4;266;0.7;92;6;1004;94;7
2016-11-09_11:00;8;6;0.0;196.8;1100;7;4;296;0.6;90;5;1004;96;7
2016-11-09_12:00;8;6;0.0;196.8;1200;8;5;296;0.4;89;4;1004;99;8
2016-11-09_13:00;8;6;0.0;196.8;1300;7;6;296;0.6;90;6;1004;100;7
2016-11-09_14:00;8;6;0.0;196.8;1400;7;8;296;0.7;90;7;1004;100;7
2016-11-09_15:00;8;6;0.0;196.8;1500;7;9;296;0.9;91;9;1004;100;7
2016-11-09_16:00;8;6;0.0;196.8;1600;6;10;296;0.8;91;9;1005;93;6
2016-11-09_17:00;8;6;0.0;196.8;1700;6;11;116;0.8;92;9;1005;86;6
2016-11-09_18:00;8;6;0.0;196.8;1800;5;12;116;0.7;93;9;1005;79;5
2016-11-09_19:00;8;6;0.0;196.8;1900;4;11;116;0.5;93;9;1006;65;4
2016-11-09_20:00;8;6;0.0;196.8;2000;4;11;143;0.2;94;8;1006;51;4
2016-11-09_21:00;8;6;0.0;196.8;2100;3;10;143;0.0;94;7;1007;37;3
2016-11-09_22:00;8;6;0.0;196.8;2200;3;9;143;0.0;94;6;1007;39;3
2016-11-09_23:00;8;6;0.0;196.8;2300;2;9;143;0.0;95;4;1008;41;2
2016-11-10_00:00;7;1;0.0;196.8;0000;2;8;143;0.0;95;2;1008;42;2
2016-11-10_01:00;7;1;0.0;196.8;0100;1;8;143;0.0;95;3;1008;43;1
2016-11-10_02:00;7;1;0.0;196.8;0200;1;8;116;0.0;95;4;1009;43;1
2016-11-10_03:00;7;1;0.0;196.8;0300;1;8;116;0.0;94;5;1009;44;1
2016-11-10_05:00;7;1;0.0;196.8;0500;1;7;116;0.0;93;8;1010;38;1
2016-11-10_04:00;7;1;0.0;196.8;0400;1;7;116;0.0;94;6;1009;41;1
2016-11-10_06:00;7;1;0.0;196.8;0600;1;7;116;0.0;92;10;1010;35;1
2016-11-10_07:00;7;1;0.0;196.8;0700;2;6;116;0.0;90;10;1011;32;2
2016-11-10_09:00;7;1;0.0;196.8;0900;3;4;113;0.0;85;10;1011;25;3
2016-11-10_08:00;7;1;0.0;196.8;0800;2;5;113;0.0;87;10;1011;29;2
2016-11-10_10:00;7;1;0.0;196.8;1000;4;3;113;0.0;79;10;1012;31;4
2016-11-10_11:00;7;1;0.0;196.8;1100;5;3;119;0.0;73;10;1012;37;5
2016-11-10_12:00;7;1;0.0;196.8;1200;6;2;119;0.0;67;10;1012;42;6
2016-11-10_13:00;7;1;0.0;196.8;1300;6;3;119;0.0;67;10;1012;51;6
2016-11-10_14:00;7;1;0.0;196.8;1400;6;3;116;0.0;68;10;1013;60;6
2016-11-10_15:00;7;1;0.0;196.8;1500;6;3;116;0.0;68;10;1013;70;6
2016-11-10_16:00;7;1;0.0;196.8;1600;6;4;116;0.0;72;10;1013;69;6
